Date,Users,DayNum,Day,Month,Year,Weekday
2018-03-18,3,1,18,3,2018,Sunday
2018-03-19,2,2,19,3,2018,Monday
2018-03-20,8,3,20,3,2018,Tuesday
2018-03-21,6,4,21,3,2018,Wednesday
2018-03-22,12,5,22,3,2018,Thursday
2018-03-23,5,6,23,3,2018,Friday
2018-03-24,10,7,24,3,2018,Saturday
2018-03-25,24,8,25,3,2018,Sunday
2018-03-26,27,9,26,3,2018,Monday
2018-03-27,41,10,27,3,2018,Tuesday
2018-03-28,44,11,28,3,2018,Wednesday
2018-03-29,53,12,29,3,2018,Thursday
2018-03-30,24,13,30,3,2018,Friday
2018-03-31,9,14,31,3,2018,Saturday
2018-04-01,10,15,1,4,2018,Sunday
2018-04-02,13,16,2,4,2018,Monday
2018-04-03,25,17,3,4,2018,Tuesday
2018-04-04,51,18,4,4,2018,Wednesday
2018-04-05,29,19,5,4,2018,Thursday
2018-04-06,29,20,6,4,2018,Friday
2018-04-07,18,21,7,4,2018,Saturday
2018-04-08,11,22,8,4,2018,Sunday
2018-04-09,33,23,9,4,2018,Monday
2018-04-10,25,24,10,4,2018,Tuesday
2018-04-11,53,25,11,4,2018,Wednesday
2018-04-12,49,26,12,4,2018,Thursday
2018-04-13,24,27,13,4,2018,Friday
2018-04-14,20,28,14,4,2018,Saturday
2018-04-15,12,29,15,4,2018,Sunday
2018-04-16,19,30,16,4,2018,Monday
2018-04-17,34,31,17,4,2018,Tuesday
2018-04-18,35,32,18,4,2018,Wednesday
2018-04-19,22,33,19,4,2018,Thursday
2018-04-20,25,34,20,4,2018,Friday
2018-04-21,48,35,21,4,2018,Saturday
2018-04-22,22,36,22,4,2018,Sunday
2018-04-23,52,37,23,4,2018,Monday
2018-04-24,35,38,24,4,2018,Tuesday
2018-04-25,35,39,25,4,2018,Wednesday
2018-04-26,367,40,26,4,2018,Thursday
2018-04-27,221,41,27,4,2018,Friday
2018-04-28,79,42,28,4,2018,Saturday
2018-04-29,69,43,29,4,2018,Sunday
2018-04-30,64,44,30,4,2018,Monday
2018-05-01,42,45,1,5,2018,Tuesday
2018-05-02,39,46,2,5,2018,Wednesday
2018-05-03,124,47,3,5,2018,Thursday
2018-05-04,111,48,4,5,2018,Friday
2018-05-05,64,49,5,5,2018,Saturday
2018-05-06,31,50,6,5,2018,Sunday
2018-05-07,35,51,7,5,2018,Monday
2018-05-08,64,52,8,5,2018,Tuesday
2018-05-09,55,53,9,5,2018,Wednesday
2018-05-10,52,54,10,5,2018,Thursday
2018-05-11,36,55,11,5,2018,Friday
2018-05-12,23,56,12,5,2018,Saturday
2018-05-13,28,57,13,5,2018,Sunday
2018-05-14,30,58,14,5,2018,Monday
2018-05-15,36,59,15,5,2018,Tuesday
2018-05-16,57,60,16,5,2018,Wednesday
2018-05-17,54,61,17,5,2018,Thursday
2018-05-18,45,62,18,5,2018,Friday
2018-05-19,25,63,19,5,2018,Saturday
2018-05-20,29,64,20,5,2018,Sunday
2018-05-21,34,65,21,5,2018,Monday
2018-05-22,33,66,22,5,2018,Tuesday
2018-05-23,31,67,23,5,2018,Wednesday
2018-05-24,55,68,24,5,2018,Thursday
2018-05-25,29,69,25,5,2018,Friday
2018-05-26,14,70,26,5,2018,Saturday
2018-05-27,18,71,27,5,2018,Sunday
2018-05-28,28,72,28,5,2018,Monday
2018-05-29,49,73,29,5,2018,Tuesday
2018-05-30,35,74,30,5,2018,Wednesday
2018-05-31,33,75,31,5,2018,Thursday
2018-06-01,43,76,1,6,2018,Friday
2018-06-02,30,77,2,6,2018,Saturday
2018-06-03,16,78,3,6,2018,Sunday
2018-06-04,25,79,4,6,2018,Monday
2018-06-05,24,80,5,6,2018,Tuesday
2018-06-06,48,81,6,6,2018,Wednesday
2018-06-07,27,82,7,6,2018,Thursday
2018-06-08,28,83,8,6,2018,Friday
2018-06-09,14,84,9,6,2018,Saturday
2018-06-10,23,85,10,6,2018,Sunday
2018-06-11,37,86,11,6,2018,Monday
2018-06-12,53,87,12,6,2018,Tuesday
2018-06-13,33,88,13,6,2018,Wednesday
2018-06-14,40,89,14,6,2018,Thursday
2018-06-15,29,90,15,6,2018,Friday
2018-06-16,37,91,16,6,2018,Saturday
2018-06-17,14,92,17,6,2018,Sunday
2018-06-18,24,93,18,6,2018,Monday
2018-06-19,28,94,19,6,2018,Tuesday
2018-06-20,66,95,20,6,2018,Wednesday
2018-06-21,41,96,21,6,2018,Thursday
2018-06-22,30,97,22,6,2018,Friday
2018-06-23,36,98,23,6,2018,Saturday
2018-06-24,18,99,24,6,2018,Sunday
2018-06-25,39,100,25,6,2018,Monday
2018-06-26,55,101,26,6,2018,Tuesday
2018-06-27,31,102,27,6,2018,Wednesday
2018-06-28,39,103,28,6,2018,Thursday
2018-06-29,35,104,29,6,2018,Friday
2018-06-30,18,105,30,6,2018,Saturday
2018-07-01,17,106,1,7,2018,Sunday
2018-07-02,40,107,2,7,2018,Monday
2018-07-03,48,108,3,7,2018,Tuesday
2018-07-04,53,109,4,7,2018,Wednesday
2018-07-05,38,110,5,7,2018,Thursday
2018-07-06,45,111,6,7,2018,Friday
2018-07-07,34,112,7,7,2018,Saturday
2018-07-08,20,113,8,7,2018,Sunday
2018-07-09,54,114,9,7,2018,Monday
2018-07-10,43,115,10,7,2018,Tuesday
2018-07-11,40,116,11,7,2018,Wednesday
2018-07-12,31,117,12,7,2018,Thursday
2018-07-13,149,118,13,7,2018,Friday
2018-07-14,367,119,14,7,2018,Saturday
2018-07-15,206,120,15,7,2018,Sunday
2018-07-16,116,121,16,7,2018,Monday
2018-07-17,90,122,17,7,2018,Tuesday
2018-07-18,79,123,18,7,2018,Wednesday
2018-07-19,86,124,19,7,2018,Thursday
2018-07-20,60,125,20,7,2018,Friday
2018-07-21,43,126,21,7,2018,Saturday
2018-07-22,144,127,22,7,2018,Sunday
2018-07-23,580,128,23,7,2018,Monday
2018-07-24,222,129,24,7,2018,Tuesday
2018-07-25,140,130,25,7,2018,Wednesday
2018-07-26,265,131,26,7,2018,Thursday
2018-07-27,155,132,27,7,2018,Friday
2018-07-28,91,133,28,7,2018,Saturday
2018-07-29,74,134,29,7,2018,Sunday
2018-07-30,86,135,30,7,2018,Monday
2018-07-31,111,136,31,7,2018,Tuesday
2018-08-01,524,137,1,8,2018,Wednesday
2018-08-02,172,138,2,8,2018,Thursday
2018-08-03,123,139,3,8,2018,Friday
2018-08-04,79,140,4,8,2018,Saturday
2018-08-05,68,141,5,8,2018,Sunday
2018-08-06,83,142,6,8,2018,Monday
2018-08-07,138,143,7,8,2018,Tuesday
2018-08-08,104,144,8,8,2018,Wednesday
2018-08-09,88,145,9,8,2018,Thursday
2018-08-10,84,146,10,8,2018,Friday
2018-08-11,54,147,11,8,2018,Saturday
